order_item_id,order_id,product_id,quantity,price_per_unit
1,11431,711,1,30000
2,19697,90,4,1440
3,23631,619,10,2199
4,13899,258,1,599
5,22021,766,1,19499
6,7884,381,1,139
7,16726,182,1,499
8,14836,239,1,999
9,22947,138,4,43000
10,1888,413,1,759
11,8623,317,1,316
12,11670,619,3,2199
13,227,314,1,1999
14,19241,179,1,1680
15,1733,576,2,2399
16,7901,632,6,67790
17,2624,792,1,1999
18,10218,126,4,1999
19,9497,308,2,1999
20,11741,715,1,87900
21,173,159,2,2099
22,9935,709,1,56179
23,1794,178,5,3299
24,17717,265,1,1160
25,6680,395,5,999
26,2090,738,1,999
27,11405,707,1,83990
28,5397,709,5,56179
29,8205,119,1,599
30,1484,155,1,1200
31,3883,444,2,1060
32,23313,437,1,699
33,18511,647,1,58400
34,22479,220,1,239
35,15453,678,1,57990
36,23821,208,2,349
37,9345,539,1,999
38,70,578,3,678
39,20308,493,1,399
40,1451,456,1,299
41,1555,713,2,40900
42,8867,413,1,759
43,9489,189,2,1999
44,13199,124,5,530
45,8388,299,2,595
46,14424,735,1,449
47,19474,692,3,47100
48,15811,393,4,599
49,8346,183,1,1100
50,5110,753,2,999
51,779,591,1,549
52,18763,424,10,3855
53,15208,430,1,239
54,11146,741,2,2999
55,4980,753,3,999
56,5635,234,1,1060
57,8052,235,5,1180
58,14502,169,1,3299
59,6854,128,6,799
60,16438,339,4,1445
61,1872,611,2,499
62,13483,190,1,599
63,1800,754,4,1499
64,6351,678,1,57990
65,6144,263,5,1099
66,1543,79,1,2299
67,15064,265,1,1160
68,14552,226,4,460
69,21907,623,2,769
70,1489,524,7,1299
71,1203,268,2,900
72,3038,425,1,1499
73,3609,594,3,140
74,6943,693,1,49089
75,11837,293,2,299
76,5227,583,1,1299
77,17115,731,1,699
78,18536,737,4,999
79,20013,112,1,1399
80,8319,339,2,1445
81,20534,391,3,2999
82,23435,792,2,1999
83,7383,309,2,99
84,10342,791,3,16999
85,21716,687,1,85990
86,17086,53,1,349
87,22413,632,1,67790
88,15047,727,2,299
89,3156,252,4,399
90,1235,378,1,171
91,8444,577,1,277
92,14661,95,2,750
93,23870,214,1,1350
94,23564,393,3,599
95,18742,693,10,49089
96,21185,318,2,1400
97,588,387,3,13150
98,20848,566,1,499
99,4471,302,3,3900
100,13600,419,3,2795
101,14946,599,2,299
102,1047,265,1,1160
103,18460,4,1,199
104,862,735,1,449
105,23481,615,2,1299
106,22546,465,1,199
107,23722,716,2,71750
108,11632,173,2,449
109,11649,566,1,499
110,12009,770,1,999
111,10269,712,5,29490
112,23768,359,1,199
113,3139,625,1,999
114,20257,698,1,93990
115,19139,193,1,430
116,22280,740,4,899
117,20648,746,3,590
118,14971,37,3,1149
119,4638,178,2,3299
120,17843,731,4,699
121,559,717,2,59990
122,17716,620,1,999
123,6115,413,1,759
124,7994,278,1,1988
125,10760,778,1,499
126,21175,377,1,749
127,20183,568,2,1699
128,15052,456,3,299
129,3088,766,1,19499
130,5215,227,2,699
131,12145,475,1,1160
132,295,30,3,999
133,19867,398,3,800
134,5035,700,9,42990
135,658,805,1,999
136,1201,10,1,259
137,16379,121,3,75
138,21737,22,3,400
139,8845,77,1,60
140,1874,725,3,68990
141,612,478,1,900
142,10865,412,1,400
143,14889,110,6,492
144,5763,376,2,799
145,6173,365,3,2750
146,16087,658,5,79990
147,784,507,5,575
148,3660,56,1,699
149,2543,666,1,33000
150,16855,728,3,1599
151,21741,272,2,3999
152,9932,93,6,499
153,4198,11,2,200
154,13694,757,1,1999
155,16376,88,3,999
156,14941,28,3,700
157,9929,151,1,3786
158,17006,800,8,2620
159,20024,745,3,500
160,10165,162,10,499
161,4170,552,5,599
162,1878,400,2,5295
163,23673,7,5,159
164,14601,574,1,615
165,3383,222,2,699
166,10439,78,3,699
167,9129,809,9,5990
168,15337,134,1,999
169,2399,186,1,2999
170,12383,675,2,52900
171,20031,562,2,130
172,14186,609,4,999
173,6806,723,1,61400
174,3677,144,6,899
175,629,747,2,3499
176,12588,807,1,699
177,10168,603,1,1999
178,22273,548,1,1700
179,6016,417,2,399
180,20100,236,9,1598
181,9751,253,1,399
182,2875,561,1,999
183,16095,16,6,240
184,23830,23,9,799
185,23279,279,1,8000
186,22872,282,1,2250
187,9439,218,1,499
188,18172,387,1,13150
189,1920,344,1,2295
190,12686,240,1,450
191,3145,584,1,999
192,16871,17,1,599
193,6285,670,1,45090
194,18880,5,1,275
195,5827,650,2,71990
196,1373,484,5,3230
197,10618,49,5,198
198,2555,775,9,66999
199,12685,151,3,3786
200,23563,630,8,61990
201,738,701,10,85990
202,14326,593,2,699
203,3392,342,1,432
204,14932,65,1,1599
205,21346,572,2,1075
206,17625,127,1,850
207,15840,805,3,999
208,11914,365,3,2750
209,12124,642,1,62000
210,20179,808,1,1499
211,11031,265,1,1160
212,4832,419,3,2795
213,12395,787,1,1615
214,22641,729,4,38990
215,6315,456,1,299
216,5400,59,1,999
217,8982,725,2,68990
218,14953,130,1,140
219,16360,704,1,49990
220,2678,298,3,369
221,23311,117,3,999
222,13388,680,3,54990
223,10724,14,1,259
224,11406,535,2,245
225,16511,147,1,699
226,23537,258,3,599
227,5262,161,1,899
228,16116,739,3,15490
229,6950,58,3,798
230,17269,51,1,175
231,10991,184,1,1179
232,19392,600,1,599
233,5255,279,3,8000
234,8275,126,1,1999
235,21742,247,1,999
236,12792,793,1,495
237,9660,642,1,62000
238,7135,120,3,1199
239,21825,578,1,678
240,21649,221,5,239
241,13113,273,5,399
242,7918,163,1,4995
243,17339,686,1,71900
244,12950,631,3,68990
245,17016,533,1,199
246,19080,166,3,223
247,10025,316,1,165
248,3996,584,1,999
249,13469,693,2,49089
250,469,667,3,55400
251,8939,540,1,335
252,14170,550,1,460
253,1577,158,2,699
254,12180,34,1,799
255,18158,771,5,4797
256,1690,247,1,999
257,7850,314,7,1999
258,2559,338,4,322
259,14938,532,1,1499
260,5182,20,3,999
