order_id,order_date,customer_id,seller_id,order_status
1,01-13-2017,207,76,Completed
2,01-13-2017,365,8,Completed
3,01-13-2017,364,38,Returned
4,01-13-2017,176,29,Returned
5,01-12-2017,488,6,Returned
6,01-12-2017,439,63,Completed
7,01-12-2017,661,72,Returned
8,01-12-2017,156,43,Returned
9,01-23-2017,584,12,Cancelled
10,01-23-2017,273,12,Completed
11,01-23-2017,209,54,Completed
12,01-23-2017,451,54,Completed
13,01-23-2017,303,7,Completed
14,01-23-2017,144,82,Completed
15,01-23-2017,673,32,Completed
16,01-23-2017,526,8,Completed
17,01-24-2017,691,24,Completed
18,01-24-2017,650,66,Cancelled
19,01-24-2017,605,84,Returned
20,01-24-2017,327,66,Cancelled
21,01-24-2017,686,49,Completed
22,01-24-2017,500,5,Completed
23,01-24-2017,599,82,Returned
24,01-24-2017,643,18,Completed
25,01-27-2017,350,39,Cancelled
26,01-27-2017,175,44,Returned
27,01-27-2017,784,71,Completed
28,01-27-2017,489,38,Returned
29,01-27-2017,814,60,Completed
30,01-27-2017,424,21,Completed
31,01-27-2017,528,46,Completed
32,01-27-2017,430,28,Returned
33,02-03-2017,796,28,Completed
34,02-03-2017,249,43,Cancelled
35,02-03-2017,175,67,Cancelled
36,02-03-2017,372,29,Completed
37,02-03-2017,398,65,Completed
38,02-03-2017,372,54,Completed
39,02-03-2017,291,31,Returned
40,02-03-2017,194,13,Cancelled
41,02-06-2017,548,39,Completed
42,02-06-2017,915,37,Returned
43,02-06-2017,367,16,Cancelled
44,02-05-2017,726,59,Returned
45,02-05-2017,581,1,Returned
46,02-05-2017,229,84,Completed
47,02-05-2017,833,78,Completed
48,02-05-2017,795,63,Completed
49,03-20-2017,733,52,Returned
50,03-20-2017,753,50,Completed
51,03-20-2017,689,33,Completed
52,03-20-2017,297,33,Completed
53,03-20-2017,903,32,Completed
54,03-19-2017,841,73,Cancelled
55,03-19-2017,491,44,Completed
56,03-19-2017,219,65,Completed
57,06-03-2017,666,52,Returned
58,06-03-2017,649,43,Returned
59,06-03-2017,251,34,Completed
60,06-03-2017,200,47,Completed
61,06-03-2017,123,73,Completed
62,06-03-2017,257,4,Completed
63,06-03-2017,627,2,Completed
64,06-03-2017,490,38,Completed
65,12-15-2016,453,6,Completed
66,12-15-2016,139,71,Cancelled
67,12-15-2016,904,9,Completed
68,12-15-2016,788,54,Completed
69,12-15-2016,581,44,Completed
70,12-15-2016,735,41,Completed
71,12-15-2016,382,72,Returned
72,12-15-2016,356,39,Returned
73,12-16-2016,143,48,Returned
74,12-16-2016,66,84,Completed
75,12-16-2016,135,53,Completed
76,12-16-2016,514,43,Cancelled
77,12-16-2016,514,21,Completed
78,12-16-2016,665,4,Completed
79,12-16-2016,532,7,Completed
80,12-15-2016,591,3,Completed
81,06-03-2017,189,47,Completed
82,06-03-2017,431,9,Returned
83,05-09-2017,406,17,Completed
84,05-09-2017,318,4,Completed
85,05-08-2017,158,77,Returned
86,05-08-2017,569,29,Completed
87,05-08-2017,244,84,Returned
88,05-07-2017,84,40,Completed
89,05-07-2017,530,52,Completed
90,05-07-2017,792,62,Completed
91,01-06-2017,108,58,Returned
92,01-06-2017,798,71,Returned
93,01-06-2017,313,48,Completed
94,01-06-2017,494,61,Cancelled
95,01-06-2017,765,4,Returned
96,01-06-2017,541,39,Completed
97,01-06-2017,823,16,Returned
98,01-06-2017,455,64,Returned
99,01-06-2017,611,16,Returned
100,01-06-2017,293,68,Cancelled
101,01-06-2017,125,5,Completed
102,01-06-2017,654,25,Completed
103,01-06-2017,61,43,Completed
104,01-06-2017,748,18,Completed
105,01-06-2017,585,84,Completed
106,01-06-2017,673,42,Completed
107,01-07-2017,33,83,Completed
108,01-07-2017,434,33,Returned
109,01-07-2017,670,30,Completed
110,01-07-2017,597,47,Returned
111,01-07-2017,813,57,Completed
112,01-07-2017,623,78,Completed
113,01-07-2017,732,75,Completed
114,01-07-2017,767,65,Returned
115,01-08-2017,344,54,Completed
116,01-08-2017,860,66,Completed
117,01-08-2017,299,10,Returned
118,01-08-2017,698,14,Cancelled
119,01-08-2017,452,69,Cancelled
120,01-08-2017,912,8,Completed
121,01-08-2017,203,22,Returned
122,01-08-2017,69,25,Completed
123,01-11-2017,592,2,Completed
124,01-11-2017,553,55,Cancelled
125,01-11-2017,252,4,Returned
126,01-10-2017,451,58,Completed
127,01-10-2017,42,25,Returned
128,01-10-2017,874,10,Returned
129,01-10-2017,301,85,Returned
130,01-10-2017,380,80,Cancelled
131,01-23-2017,9,85,Cancelled
132,01-23-2017,393,72,Completed
133,01-23-2017,245,45,Completed
134,01-23-2017,799,32,Cancelled
135,01-23-2017,868,81,Returned
136,01-23-2017,561,76,Completed
137,01-23-2017,39,73,Completed
138,01-23-2017,612,34,Completed
139,01-23-2017,615,15,Returned
140,01-23-2017,513,66,Completed
141,01-23-2017,26,84,Cancelled
142,01-23-2017,401,58,Returned
143,01-23-2017,112,1,Completed
144,01-23-2017,790,37,Returned
145,01-23-2017,141,72,Returned
146,01-23-2017,631,32,Completed
147,01-26-2017,493,16,Returned
148,01-26-2017,586,78,Returned
149,01-26-2017,379,18,Returned
150,01-26-2017,784,6,Completed
151,01-26-2017,665,48,Completed
152,01-25-2017,916,74,Completed
153,01-25-2017,695,81,Cancelled
154,01-25-2017,422,26,Completed
155,01-30-2017,563,18,Completed
156,01-30-2017,792,61,Completed
157,01-29-2017,539,66,Returned
158,01-29-2017,463,56,Completed
159,01-29-2017,810,55,Completed
160,01-29-2017,381,74,Returned
161,01-29-2017,644,30,Completed
162,01-29-2017,326,81,Completed
163,11-26-2016,696,61,Returned
164,11-26-2016,884,43,Returned
165,11-26-2016,215,72,Completed
166,11-26-2016,804,13,Returned
167,11-26-2016,386,21,Completed
168,11-26-2016,553,27,Completed
169,11-25-2016,350,51,Completed
170,11-25-2016,820,69,Completed
171,12-03-2016,44,67,Returned
172,12-03-2016,209,14,Completed
173,12-02-2016,727,49,Cancelled
174,12-02-2016,707,11,Cancelled
175,12-02-2016,228,20,Completed
