shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
1,1084,02-15-2017,,dhl,Delivered
2,16523,01-16-2016,01-28-2016,amazon logistics,Returned
3,924,03-07-2017,03-21-2017,purolator,Returned
4,21214,08-06-2017,08-16-2017,purolator,Returned
5,20930,07-09-2017,07-23-2017,amazon logistics,Returned
6,3011,01-18-2017,,amazon logistics,Delivered
7,3917,01-27-2017,,spee-dee delivery,Delivered
8,5511,05-25-2016,,spee-dee delivery,Delivered
9,21919,04-18-2017,04-26-2017,purolator,Returned
10,9496,01-11-2016,,purolator,Delivered
11,11847,03-09-2016,,xpo logistics,Delivered
12,14727,12-26-2016,,usps,Delivered
13,11350,06-06-2016,,spee-dee delivery,Delivered
14,15085,06-06-2017,,ups,Delivered
15,19311,06-20-2016,,fedex,Delivered
16,18873,02-05-2017,,fedex,Delivered
17,15051,10-09-2016,,lasership,Delivered
18,12982,01-20-2017,,purolator,Delivered
19,20152,01-06-2017,,spee-dee delivery,Delivered
20,13595,12-06-2015,,dhl,Delivered
21,21872,04-18-2017,,amazon logistics,Delivered
22,17976,07-20-2017,,lasership,Delivered
23,6211,12-09-2016,,spee-dee delivery,Delivered
24,11864,03-05-2016,,ontrac,Delivered
25,14485,01-18-2017,,ontrac,Delivered
26,23499,04-01-2016,,dhl,Delivered
27,3349,12-17-2016,12-29-2016,lasership,Returned
28,17593,04-04-2017,04-18-2017,ontrac,Returned
29,20317,01-20-2017,,spee-dee delivery,Delivered
30,14271,12-31-2016,,xpo logistics,Delivered
31,14905,12-04-2016,,purolator,Delivered
32,12895,01-25-2017,,spee-dee delivery,Delivered
33,2351,01-15-2017,01-30-2017,lasership,Returned
34,12693,02-02-2017,,ontrac,Delivered
35,3273,09-06-2016,,spee-dee delivery,Delivered
36,1518,12-28-2016,01-12-2017,spee-dee delivery,Returned
37,21785,03-21-2017,04-02-2017,amazon logistics,Returned
38,16597,02-29-2016,,ontrac,Delivered
39,20869,06-25-2017,,ontrac,Delivered
40,22926,11-23-2016,,xpo logistics,Delivered
41,18556,12-31-2016,,dhl,Delivered
42,18571,01-04-2017,,xpo logistics,Delivered
43,10023,01-07-2016,01-19-2016,lasership,Returned
44,4986,10-20-2015,10-29-2015,usps,Returned
45,3538,01-16-2016,,dhl,Delivered
46,12647,02-02-2017,,usps,Delivered
47,7546,04-16-2017,04-30-2017,ontrac,Returned
48,22242,09-08-2016,09-18-2016,usps,Returned
49,15506,02-13-2017,,amazon logistics,Delivered
50,3347,12-16-2016,12-27-2016,lasership,Returned
51,13259,01-02-2016,,usps,Delivered
52,15887,08-15-2015,,fedex,Delivered
53,3646,12-30-2015,,spee-dee delivery,Delivered
54,16407,01-21-2016,01-29-2016,xpo logistics,Returned
55,11793,03-11-2016,,dhl,Delivered
56,23687,04-21-2016,,fedex,Delivered
57,17626,03-20-2017,03-28-2017,usps,Returned
58,18850,01-24-2017,02-06-2017,xpo logistics,Returned
59,345,02-23-2017,,purolator,Delivered
60,19246,06-14-2016,06-29-2016,spee-dee delivery,Returned
63,19618,08-01-2016,,xpo logistics,Delivered
65,1957,01-30-2017,,fedex,Delivered
66,14906,12-05-2016,,spee-dee delivery,Delivered
67,26,01-28-2017,02-07-2017,lasership,Returned
68,10439,01-18-2016,,amazon logistics,Delivered
69,20116,01-01-2017,,xpo logistics,Delivered
70,3505,01-10-2016,,amazon logistics,Delivered
71,19420,07-04-2016,,fedex,Delivered
72,15361,03-20-2017,,spee-dee delivery,Delivered
73,12607,01-02-2016,,spee-dee delivery,Delivered
74,21593,03-06-2017,,dhl,Delivered
75,23607,04-13-2016,,purolator,Delivered
76,5796,04-22-2016,,fedex,Delivered
77,12951,01-24-2017,02-03-2017,spee-dee delivery,Returned
78,2920,12-27-2016,,fedex,Delivered
79,21165,08-01-2017,,ups,Delivered
80,7316,12-18-2016,,purolator,Delivered
81,22941,11-28-2016,,ontrac,Delivered
82,17517,03-29-2017,,dhl,Delivered
83,19334,06-21-2016,,purolator,Delivered
84,19301,06-21-2016,,purolator,Delivered
85,1688,12-22-2016,,amazon logistics,Delivered
86,15264,04-19-2017,,lasership,Delivered
88,15254,04-10-2017,,dhl,Delivered
89,5427,05-28-2016,,purolator,Delivered
90,17995,07-09-2017,07-21-2017,purolator,Returned
91,8144,01-18-2017,,purolator,Delivered
92,9846,01-08-2016,01-19-2016,purolator,Returned
93,11696,03-12-2016,,amazon logistics,Delivered
94,12376,12-30-2015,,amazon logistics,Delivered
95,6829,01-02-2017,01-15-2017,xpo logistics,Returned
96,16558,01-18-2016,,purolator,Delivered
97,19196,06-04-2016,,xpo logistics,Delivered
98,13274,12-31-2015,,dhl,Delivered
99,17146,08-14-2016,08-28-2016,amazon logistics,Returned
100,20816,06-27-2017,,lasership,Delivered
101,2035,01-28-2017,02-12-2017,purolator,Returned
102,15438,03-02-2017,,usps,Delivered
103,11411,06-08-2016,,dhl,Delivered
104,18074,08-02-2017,,ontrac,Delivered
105,20356,01-24-2017,,xpo logistics,Delivered
106,9051,09-13-2016,09-22-2016,ontrac,Returned
107,11841,03-10-2016,,ontrac,Delivered
108,6337,12-01-2016,,ontrac,Delivered
109,5994,04-06-2016,,fedex,Delivered
110,2193,01-20-2017,,ontrac,Delivered
111,20355,01-24-2017,,ontrac,Delivered
112,5001,03-30-2017,,usps,Delivered
113,12157,01-01-2016,,usps,Delivered
114,8718,01-01-2017,,spee-dee delivery,Delivered
115,18244,10-03-2016,10-13-2016,ups,Returned
116,5050,09-06-2016,09-19-2016,spee-dee delivery,Returned
117,10515,01-18-2016,,amazon logistics,Delivered
118,12166,12-31-2015,,lasership,Delivered
119,9935,01-08-2016,,usps,Delivered
120,2178,01-21-2017,,ontrac,Delivered
121,9873,01-09-2016,,fedex,Delivered
122,6936,12-30-2016,,ups,Delivered
123,18507,12-17-2016,12-31-2016,purolator,Returned
124,14568,01-09-2017,,xpo logistics,Delivered
126,16396,01-15-2016,,spee-dee delivery,Delivered
127,7544,04-15-2017,,spee-dee delivery,Delivered
128,4148,01-08-2016,01-21-2016,dhl,Returned
129,9034,09-12-2016,09-25-2016,spee-dee delivery,Returned
130,15573,02-05-2017,02-14-2017,usps,Returned
131,23765,05-03-2016,05-11-2016,purolator,Returned
132,8049,02-05-2017,,usps,Delivered
133,20898,07-03-2017,07-17-2017,fedex,Returned
134,4600,03-02-2017,,ups,Delivered
135,5759,04-24-2016,05-05-2016,ontrac,Returned
136,12023,02-03-2016,02-17-2016,lasership,Returned
137,9353,08-12-2016,,ups,Delivered
138,22442,10-12-2016,,lasership,Delivered
139,8467,01-10-2017,,amazon logistics,Delivered
140,10563,01-13-2016,,usps,Delivered
141,722,03-30-2017,04-07-2017,amazon logistics,Returned
142,5749,04-25-2016,,spee-dee delivery,Delivered
143,7978,02-14-2017,,purolator,Delivered
144,9778,01-13-2016,01-24-2016,ontrac,Returned
145,19542,08-02-2016,,spee-dee delivery,Delivered
146,6625,11-01-2016,,ontrac,Delivered
147,604,10-22-2016,,xpo logistics,Delivered
148,11745,03-15-2016,,dhl,Delivered
149,2231,01-19-2017,,fedex,Delivered
150,10896,07-16-2016,,ups,Delivered
151,15553,02-06-2017,,fedex,Delivered
152,2889,04-25-2017,,purolator,Delivered
153,11171,06-18-2016,,purolator,Delivered
154,23646,04-16-2016,04-28-2016,lasership,Returned
155,2861,02-10-2017,,xpo logistics,Delivered
156,2808,05-02-2017,,usps,Delivered
157,20018,12-24-2016,01-05-2017,amazon logistics,Returned
158,1174,02-04-2017,02-17-2017,xpo logistics,Returned
159,20437,01-31-2017,,lasership,Delivered
160,8391,01-09-2017,,dhl,Delivered
161,19148,05-31-2016,,spee-dee delivery,Delivered
162,6742,10-15-2016,,ontrac,Delivered
163,10658,01-14-2016,,lasership,Delivered
164,19508,07-17-2016,07-25-2016,usps,Returned
165,5936,04-13-2016,,ontrac,Delivered
166,13896,05-19-2017,,ups,Delivered
167,1238,02-01-2017,,purolator,Delivered
168,13826,05-23-2017,,dhl,Delivered
169,93,01-11-2017,,usps,Delivered
170,1610,12-26-2016,,ontrac,Delivered
